,year,month,day,hour,bitcoin
659,2015,1,28,8,33
660,2015,1,28,9,42
661,2015,1,28,10,34
662,2015,1,28,11,47
663,2015,1,28,12,35
664,2015,1,28,13,53
665,2015,1,28,14,44
666,2015,1,28,15,64
667,2015,1,28,16,46
668,2015,1,28,17,68
669,2015,1,28,18,65
670,2015,1,28,19,49
671,2015,1,28,20,74
672,2015,1,28,21,67
673,2015,1,28,22,100
674,2015,1,28,23,63
675,2015,1,29,0,53
676,2015,1,29,0,65
677,2015,1,29,1,57
678,2015,1,29,2,78
679,2015,1,29,3,91
680,2015,1,29,4,53
681,2015,1,29,5,79
682,2015,1,29,6,55
683,2015,1,29,7,86
684,2015,1,29,8,62
685,2015,1,29,9,63
686,2015,1,29,10,50
687,2015,1,29,11,46
688,2015,1,29,12,35
689,2015,1,29,13,44
690,2015,1,29,14,56
691,2015,1,29,15,54
692,2015,1,29,16,76
693,2015,1,29,17,56
694,2015,1,29,18,71
695,2015,1,29,19,55
696,2015,1,29,20,65
697,2015,1,29,21,60
698,2015,1,29,22,89
699,2015,1,29,23,67
700,2015,1,30,0,78
701,2015,1,30,1,58
702,2015,1,30,2,50
703,2015,1,30,3,67
704,2015,1,30,4,49
705,2015,1,30,5,52
706,2015,1,30,6,65
707,2015,1,30,7,70
708,2015,1,30,8,35
709,2015,1,30,9,47
710,2015,1,30,10,20
711,2015,1,30,11,48
712,2015,1,30,12,49
713,2015,1,30,13,38
714,2015,1,30,14,58
715,2015,1,30,15,39
716,2015,1,30,16,43
717,2015,1,30,17,51
718,2015,1,30,18,69
719,2015,1,30,19,56
720,2015,1,30,20,57
721,2015,1,30,21,72
722,2015,1,30,22,96
723,2015,1,30,23,72
724,2015,1,31,0,50
725,2015,1,31,1,56
726,2015,1,31,2,60
727,2015,1,31,3,56
728,2015,1,31,4,86
729,2015,1,31,5,38
730,2015,1,31,6,45
731,2015,1,31,7,55
732,2015,1,31,8,31
733,2015,1,31,9,19
734,2015,1,31,10,50
735,2015,1,31,11,68
736,2015,1,31,12,42
737,2015,1,31,13,42
738,2015,1,31,14,43
739,2015,1,31,15,50
740,2015,1,31,16,59
741,2015,1,31,17,55
742,2015,1,31,18,70
743,2015,1,31,19,52
744,2015,1,31,20,70
745,2015,1,31,21,47
746,2015,1,31,22,75
747,2015,1,31,23,69
748,2015,2,1,0,43
749,2015,2,1,1,67
750,2015,2,1,2,61
751,2015,2,1,3,66
752,2015,2,1,4,74
753,2015,2,1,5,91
754,2015,2,1,6,60
755,2015,2,1,7,48
756,2015,2,1,8,40
757,2015,2,1,9,41
758,2015,2,1,10,41
759,2015,2,1,11,58
760,2015,2,1,12,46
761,2015,2,1,13,42
762,2015,2,1,14,45
763,2015,2,1,15,73
764,2015,2,1,16,51
765,2015,2,1,17,61
766,2015,2,1,18,59
767,2015,2,1,19,28
768,2015,2,1,20,55
769,2015,2,1,21,79
770,2015,2,1,22,59
771,2015,2,1,23,53
772,2015,2,2,0,85
773,2015,2,2,1,48
774,2015,2,2,2,51
775,2015,2,2,3,57
776,2015,2,2,4,44
777,2015,2,2,5,66
778,2015,2,2,6,47
779,2015,2,2,7,44
780,2015,2,2,8,58
781,2015,2,2,9,37
782,2015,2,2,10,46
783,2015,2,2,11,23
784,2015,2,2,12,30
785,2015,2,2,13,41
786,2015,2,2,14,49
787,2015,2,2,15,42
788,2015,2,2,16,66
789,2015,2,2,17,57
790,2015,2,2,18,63
791,2015,2,2,19,38
792,2015,2,2,20,57
793,2015,2,2,21,59
794,2015,2,2,22,65
795,2015,2,2,23,62
796,2015,2,3,0,61
797,2015,2,3,1,90
798,2015,2,3,2,49
799,2015,2,3,3,46
800,2015,2,3,4,72
801,2015,2,3,5,78
802,2015,2,3,6,63
803,2015,2,3,7,45
804,2015,2,3,8,63
805,2015,2,3,9,56
806,2015,2,3,10,39
807,2015,2,3,11,35
808,2015,2,3,12,27
809,2015,2,3,13,40
810,2015,2,3,14,48
811,2015,2,3,15,63
812,2015,2,3,16,56
813,2015,2,3,17,66
814,2015,2,3,18,52
815,2015,2,3,19,53
816,2015,2,3,20,53
817,2015,2,3,21,65
818,2015,2,3,22,86
819,2015,2,3,23,89
820,2015,2,4,0,42
